date	close	volume	open	high	low
2017-03-24	0.36	26666	0.3516	0.3702	0.3516
2017-03-23	0.3456	16667	0.318	0.3456	0.318
2017-03-22	0.318	16984	0.3072	0.36	0.3072
2017-03-21	0.3024	22834	0.3084	0.3522	0.3024
2017-03-20	0.3006	4503	0.3516	0.3516	0.3006
2017-03-17	0.306	10173	0.342	0.36	0.306
2017-03-16	0.348	30500	0.3228	0.348	0.315
2017-03-15	0.318	0	0.318	0.318	0.318
2017-03-14	0.318	1667	0.3354	0.3354	0.318
2017-03-13	0.3378	15810	0.3384	0.3384	0.324
2017-03-10	0.336	67	0.336	0.336	0.336
2017-03-09	0.3174	1450	0.3	0.3174	0.3
2017-03-08	0.3186	5000	0.33	0.33	0.3186
2017-03-07	0.324	1900	0.3312	0.3312	0.3198
2017-03-06	0.3366	22589	0.318	0.342	0.2982
2017-03-03	0.318	35109	0.315	0.318	0.3146
2017-03-02	0.3	0	0.3	0.3	0.3
2017-03-01	0.3	28738	0.318	0.324	0.288
2017-02-28	0.3216	42502	0.3294	0.33	0.3114
2017-02-27	0.318	3847	0.351	0.351	0.318
2017-02-24	0.351	33228	0.351	0.3618	0.3138
2017-02-23	0.3504	41334	0.3054	0.3504	0.3006
2017-02-22	0.3504	22223	0.351	0.351	0.336
2017-02-21	0.351	67831	0.372	0.372	0.3342
2017-02-17	0.336	157460	0.384	0.384	0.324
2017-02-16	0.3546	466625	0.2676	0.3744	0.2598
2017-02-15	0.246	37287	0.2982	0.2982	0.246
2017-02-14	0.282	169253	0.2598	0.2874	0.258
2017-02-13	0.2748	61001	0.2628	0.2748	0.2592
2017-02-10	0.2616	8550	0.243	0.2616	0.24
2017-02-09	0.24	1233	0.21	0.246	0.21
2017-02-08	0.2406	0	0.2406	0.2406	0.2406
2017-02-07	0.2406	0	0.2406	0.2406	0.2406
2017-02-06	0.2406	56668	0.2358	0.2406	0.2358
2017-02-03	0.249	1083	0.264	0.264	0.249
2017-02-02	0.234	5000	0.237	0.237	0.234
2017-02-01	0.234	167	0.234	0.234	0.234
2017-01-31	0.2352	0	0.2352	0.2352	0.2352
2017-01-30	0.2352	58	0.2352	0.2352	0.2352
2017-01-27	0.2358	11459	0.1992	0.2358	0.1992
2017-01-26	0.189	0	0.189	0.189	0.189
2017-01-25	0.189	6867	0.2352	0.2352	0.189
2017-01-24	0.2358	2400	0.2424	0.2628	0.2358
2017-01-23	0.2172	367	0.2094	0.2262	0.2094
2017-01-20	0.2178	0	0.2178	0.2178	0.2178
2017-01-19	0.2178	1750	0.1836	0.2178	0.1836
2017-01-18	0.1836	5495	0.1836	0.1836	0.1836
2017-01-17	0.225	4313	0.222	0.225	0.2136
2017-01-13	0.2232	11460	0.192	0.2232	0.192
2017-01-12	0.2238	4866	0.2208	0.2238	0.213
2017-01-11	0.2154	2862	0.222	0.222	0.2154
2017-01-10	0.219	21607	0.2196	0.2196	0.204
2017-01-09	0.222	358	0.2106	0.222	0.2106
2017-01-06	0.21	7197	0.2196	0.2226	0.18
2017-01-05	0.2202	4090	0.2334	0.2334	0.2028
2017-01-04	0.2202	1760	0.2172	0.2202	0.2172
2017-01-03	0.1626	0	0.1626	0.1626	0.1626
2016-12-30	0.1626	13667	0.1626	0.1626	0.1626
2016-12-29	0.2172	5512	0.18	0.2298	0.18
2016-12-28	0.1986	20000	0.2058	0.2058	0.1986
2016-12-27	0.318	3333	0.24	0.318	0.24
2016-12-23	0.318	1583	0.24	0.318	0.24
2016-12-22	0.2178	17	0.2178	0.2178	0.2178
2016-12-21	0.2082	0	0.2082	0.2082	0.2082
2016-12-20	0.2082	0	0.2082	0.2082	0.2082
2016-12-19	0.2082	133	0.2082	0.2082	0.2082
2016-12-16	0.1668	33	0.1668	0.1668	0.1668
2016-12-15	0.1632	259	0.1632	0.1632	0.1632
2016-12-14	0.168	0	0.168	0.168	0.168
2016-12-13	0.168	0	0.168	0.168	0.168
2016-12-12	0.168	1833	0.24	0.24	0.168
2016-12-09	0.2166	417	0.2166	0.2166	0.2166
2016-12-08	0.2166	0	0.2166	0.2166	0.2166
2016-12-07	0.2166	0	0.2166	0.2166	0.2166
2016-12-06	0.2166	0	0.2166	0.2166	0.2166
2016-12-05	0.2166	0	0.2166	0.2166	0.2166
2016-12-02	0.2166	0	0.2166	0.2166	0.2166
